Name,Opponent,Surface,League,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,AcePercentage,DoubleFaultsPerServiceGame,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnGamesWonPercentage,AceAgainstPercentage,BreakPointsConvertedPercentage,StatsSource,IWPAdjustment,MatchID
Bernarda Pera,Evgeniya Rodina,Hard,WTA,0.63478519375,0.59296452375,0.41919000749999996,0.0419110025,0.503375,0.8980587875,0.52003922875,0.33529782375,0.5376685274999999,0.27219557,0.059638039999999996,0.35290705499999997,Sourced,Positive,1
Evgeniya Rodina,Bernarda Pera,Hard,WTA,0.5820142175999999,0.6123751017000001,0.4372928123,0.0247174135,0.36619798770000006,0.8238338828500001,0.5188665961,0.26879923575,0.47609256905,0.18055931825000002,0.08211118205,0.3493506673,Estimated,Negative,1
Irina-Camelia Begu,Alexandra Eala,Hard,WTA,0.58869001728,0.61939914576,0.44230863344,0.025288712799999998,0.37466200656000004,0.8145236624800001,0.52481808208,0.2718824076,0.48155342984,0.1826303636,0.08118323624,0.35335777743999996,Estimated,Positive,2
Alexandra Eala,Irina-Camelia Begu,Hard,WTA,0.58404598272,0.6145128542400001,0.43881936656000003,0.0248912872,0.36877399344000006,0.8210003375200001,0.52067791792,0.2697375924,0.47775457016000006,0.18118963640000002,0.08182876375999999,0.35057022256000003,Estimated,Negative,2
Elise Mertens,Alycia Parks,Hard,WTA,0.5556405085,0.6709568250000001,0.4462815665,0.05282724199999999,0.5083666485,0.70603877825,0.5014625,0.38825232600000004,0.5683575975,0.3889944905,0.02313214,0.44273121200000004,Sourced,Positive,3
Alycia Parks,Elise Mertens,Hard,WTA,0.533475008,0.65295450525,0.4041144975,0.09790389199999999,0.7806861119999999,0.7814189845000001,0.48676204425,0.34571581475,0.53474129325,0.29473537,0.017531129,0.40053499825000005,Sourced,Negative,3
Viktorija Golubic,Hailey Baptiste,Hard,WTA,0.6954014475,0.6656079675000001,0.5128763375,0.015053795000000002,0.19555902,0.71464511875,0.5119352800000001,0.27756190625,0.5005625,0.28721275125,0.0474465625,0.45506136875000003,Sourced,Positive,4
Hailey Baptiste,Viktorija Golubic,Hard,WTA,0.48251655749999994,0.7369699749999999,0.4610207675,0.045557265,0.5635391775,0.5561850050000001,0.46614499624999994,0.32370542125,0.51844609125,0.2774674975,0.05693397875,0.41620124625,Sourced,Negative,4
Linda Fruhvirtova,Katherine Sebov,Hard,WTA,0.62256222675,0.6380913994999999,0.40479243125,0.03944949749999999,0.359872121,0.81591713375,0.5369259160000001,0.3623607485,0.49489576325,0.29778468625000004,0.041839350000000004,0.4714966025,Sourced,Positive,5
Katherine Sebov,Linda Fruhvirtova,Hard,WTA,0.58143371328,0.6117643152600001,0.43685665394,0.0246677353,0.36546198606,0.8246434672300001,0.51834907558,0.26853113385,0.47561771159000005,0.18037922735000003,0.08219187299,0.34900222294,Estimated,Negative,5
Anna Kalinskaya,Victoria Jimenez Kasintseva,Hard,WTA,0.688192995,0.65123744,0.50303351,0.0286556,0.27698058999999997,0.6604147,0.6135887800000001,0.344653995,0.565543545,0.34028442,0.06496633,0.472707655,Sourced,Positive,6
Victoria Jimenez Kasintseva,Anna Kalinskaya,Hard,WTA,0.618235365,0.682007095,0.438388335,0.04737971,0.38204041,0.6987804249999999,0.5848562500000001,0.37306362500000007,0.5949307100000001,0.38649292,0.05124959,0.44544643000000006,Sourced,Negative,6
Lauren Davis,Anna-Karolina Schmiedlova,Hard,WTA,0.5865968800000001,0.5902851600000001,0.48594091250000004,0.01623272,0.38444224,0.948481105,0.5857349450000001,0.312802225,0.5408141,0.30556598,0.0715486525,0.45557273750000005,Sourced,Positive,7
Anna-Karolina Schmiedlova,Lauren Davis,Hard,WTA,0.57681923,0.60188271,0.416839995,0.026131875,0.34679238,0.8584872600000001,0.467844975,0.35391190250000004,0.545869025,0.318781125,0.0500824325,0.40434816500000004,Sourced,Negative,7
Jasmine Paolini,Mirjam Bjorklund,Hard,WTA,0.686685776,0.6057666825,0.4895700285,0.016715009,0.14492023099999998,0.7704385020000001,0.545034805,0.3902361085,0.556029628,0.381854809,0.038797552500000006,0.4741892925,Sourced,Positive,8
Mirjam Bjorklund,Jasmine Paolini,Hard,WTA,0.58462648704,0.61512364068,0.43925552492,0.0249409654,0.36950999508000004,0.82019075314,0.5211954384399999,0.2700056943,0.47822942762000004,0.1813697273,0.08174807281999999,0.35091866692,Estimated,Negative,8
Marta Kostyuk,Elisabetta Cocciaretto,Hard,WTA,0.5775749135,0.6450472565,0.45151398550000005,0.043173225,0.5375697700000001,0.786786035,0.545165276,0.3862324335,0.57744427,0.3839411475,0.0136421355,0.5007967335,Sourced,Positive,9
Elisabetta Cocciaretto,Marta Kostyuk,Hard,WTA,0.64558844,0.6046620335,0.460927061,0.014207935,0.334237958,0.7809164965000001,0.5301526894999999,0.3834027155,0.506778965,0.34610824149999997,0.0320679545,0.456747851,Sourced,Negative,9
Camila Giorgi,Kaia Kanepi,Hard,WTA,0.5566567760000001,0.677610648,0.415129104,0.039754184000000005,0.6198107360000001,0.89885244,0.6223925760000001,0.27776637200000004,0.56091204,0.278368532,0.07878534799999999,0.42850709200000003,Sourced,Positive,10
Kaia Kanepi,Camila Giorgi,Hard,WTA,0.5817239654399999,0.6120697084800001,0.43707473312,0.024692574400000004,0.36582998688000007,0.82423867504,0.5186078358399999,0.2686651848,0.47585514032,0.1804692728,0.08215152751999999,0.34917644512,Estimated,Negative,10
Katerina Siniakova,Claire Liu,Hard,WTA,0.6184168027500001,0.6051139595,0.44809630025,0.0304198365,0.5103236595,0.771525736,0.4894283445,0.38640398875000004,0.580272629,0.40352626175,0.02885839825,0.42963071075000003,Sourced,Positive,11
Claire Liu,Katerina Siniakova,Hard,WTA,0.61207136475,0.59978185675,0.44111553025,0.029951005,0.229120213,0.83759793675,0.4948322515,0.33360228575,0.517037158,0.27746157875,0.03040506675,0.47074202275,Sourced,Negative,11
Yulia Putintseva,Rebecca Marino,Hard,WTA,0.7359072312500001,0.609919112,0.48487247325000005,0.012077926000000001,0.1374215185,0.804211369,0.6097989230000002,0.38212089400000004,0.55894896025,0.3889115725,0.0300925295,0.48743650525000004,Sourced,Positive,12
Rebecca Marino,Yulia Putintseva,Hard,WTA,0.56733503775,0.66919435625,0.381478224,0.095418482,0.346126257,0.8902900017500001,0.5616140625,0.288065581,0.513310261,0.20800188025,0.04363862275,0.35657750450000003,Sourced,Negative,12
Tereza Martincova,Tamara Korpatsch,Hard,WTA,0.7161488724999999,0.55802700625,0.36790751125,0.017295965,0.36609457,0.94485033125,0.46732190625,0.38059017124999994,0.58369333875,0.33445498874999996,0.032260751250000004,0.325775795,Sourced,Positive,13
Tamara Korpatsch,Tereza Martincova,Hard,WTA,0.5798663237499999,0.59614121,0.46329109749999997,0.025208684999999998,0.356318505,0.791903685,0.4983125,0.3984307425,0.52486259,0.36156558375,0.027211529999999994,0.46549363875,Sourced,Negative,13
Laura Siegemund,Mayar Sherif,Hard,WTA,0.7614747109999999,0.589369956,0.45899272199999996,0.009927838000000001,0.262611852,0.873003589,0.60054,0.39553566199999995,0.566048986,0.423460772,0.027105583000000003,0.518115885,Sourced,Positive,14
Mayar Sherif,Laura Siegemund,Hard,WTA,0.708631657,0.576061078,0.439164396,0.017538374,0.16099967799999998,0.968610966,0.5772599979999999,0.31157932600000005,0.469347207,0.191317659,0.028215370999999996,0.36701938500000003,Sourced,Negative,14
Xiyu Wang,Brenda Fruhvirtova,Hard,WTA,0.6380536940000001,0.6869509290000001,0.46406186950000006,0.058701662999999994,0.411576987,0.7051425595,0.6192879995,0.33017180200000007,0.5520166495000001,0.30069289400000004,0.0272591515,0.4458182810000001,Sourced,Positive,15
Brenda Fruhvirtova,Xiyu Wang,Hard,WTA,0.6151485175,0.6294702785,0.383062289,0.018568368000000002,0.49595,0.7171828745000001,0.4481775,0.333483898,0.571316758,0.33791587549999996,0.048766708500000006,0.386189572,Sourced,Negative,15
Nao Hibino,Danka Kovinic,Hard,WTA,0.66958316575,0.58292804375,0.47166318775,0.0255731535,0.24532957700000002,0.848957373,0.5489794367499999,0.35404549324999995,0.54978105675,0.3559794015,0.03972938475,0.5447208305,Sourced,Positive,16
Danka Kovinic,Nao Hibino,Hard,WTA,0.58375573056,0.6142074610200001,0.43860128738000004,0.0248664481,0.36840599262000007,0.8214051297100001,0.52041915766,0.26960354145,0.47751714143,0.18109959095000003,0.08186910923,0.35039600038,Estimated,Negative,16
