MatchID,Player,Average Score,10th Percentile,25th Percentile,50th Percentile (Median),75th Percentile,90th Percentile,Total Wins,Total Losses
1,Bernarda Pera,55.88125,17.975,27.0,67.125,80.5,84.25,556,444
1,Evgeniya Rodina,51.264,17.25,24.5,47.125,79.25,84.5,444,556
2,Irina-Camelia Begu,52.4165,16.5,24.5,60.25,79.25,83.0,508,492
2,Alexandra Eala,54.0085,18.0,27.5,56.5,80.3125,84.5,492,508
3,Elise Mertens,56.707,18.75,31.1875,66.75,80.25,83.775,547,453
3,Alycia Parks,51.8135,18.0,27.0,47.25,79.25,83.775,453,547
4,Viktorija Golubic,51.13775,16.5,25.5,47.375,78.5,83.0,480,520
4,Hailey Baptiste,55.08425,18.450000000000003,27.5,65.75,81.0,84.5,520,480
5,Linda Fruhvirtova,56.4825,18.5,29.5,67.25,80.3125,83.75,564,436
5,Katherine Sebov,50.84875,18.0,25.25,45.0,79.0,84.25,436,564
6,Anna Kalinskaya,52.9525,17.25,26.5,59.375,79.0,83.5,498,502
6,Victoria Jimenez Kasintseva,54.75075,18.75,28.25,62.625,80.5,85.25,502,498
7,Lauren Davis,54.57725,18.0,28.25,65.0,79.0,83.5,525,475
7,Anna-Karolina Schmiedlova,53.40925,20.5,28.25,49.5,79.75,84.5,475,525
8,Jasmine Paolini,57.537,18.75,30.0,70.0,80.75,84.5,578,422
8,Mirjam Bjorklund,49.12975,16.5,23.25,43.75,78.5,83.25,422,578
9,Marta Kostyuk,55.22975,18.75,27.5,66.5,80.25,83.75,535,465
9,Elisabetta Cocciaretto,51.9385,18.0,25.25,48.125,80.25,84.5,465,535
10,Camila Giorgi,56.3125,18.0,28.9375,68.0,80.0625,83.525,566,434
10,Kaia Kanepi,50.2195,18.0,24.9375,44.375,78.5625,83.775,434,566
11,Katerina Siniakova,55.67525,18.75,28.75,66.75,80.5,83.75,544,456
11,Claire Liu,51.84025,17.700000000000003,25.25,47.25,79.8125,84.25,456,544
12,Yulia Putintseva,58.681,19.25,32.75,70.5,81.0,85.0,598,402
12,Rebecca Marino,48.33875,15.5,23.25,42.0,77.75,83.525,402,598
13,Tereza Martincova,51.2385,17.25,24.4375,48.5,78.0,83.0,469,531
13,Tamara Korpatsch,57.37525,21.25,30.25,68.5,81.25,85.0,531,469
14,Laura Siegemund,58.27525,19.700000000000003,32.9375,69.75,80.5,84.5,597,403
14,Mayar Sherif,49.41575,17.25,25.4375,43.75,77.75,84.025,403,597
15,Xiyu Wang,56.02325,18.975,29.25,65.875,80.5,84.5,544,456
15,Brenda Fruhvirtova,51.88,18.0,26.0,47.75,79.5,84.5,456,544
16,Nao Hibino,56.17775,18.5,30.0,67.5,80.25,83.5,551,449
16,Danka Kovinic,50.8615,17.975,25.0,45.75,78.5625,84.5,449,551
