Player,Wins,Losses
Bernarda Pera,517,483
Evgeniya Rodina,483,517
Irina-Camelia Begu,490,510
Alexandra Eala,510,490
Elise Mertens,536,464
Alycia Parks,464,536
Viktorija Golubic,523,477
Hailey Baptiste,477,523
Linda Fruhvirtova,582,418
Katherine Sebov,418,582
Anna Kalinskaya,492,508
Victoria Jimenez Kasintseva,508,492
Lauren Davis,537,463
Anna-Karolina Schmiedlova,463,537
Jasmine Paolini,596,404
Mirjam Bjorklund,404,596
Marta Kostyuk,541,459
Elisabetta Cocciaretto,459,541
Camila Giorgi,551,449
Kaia Kanepi,449,551
Katerina Siniakova,585,415
Claire Liu,415,585
Yulia Putintseva,583,417
Rebecca Marino,417,583
Tereza Martincova,489,511
Tamara Korpatsch,511,489
Laura Siegemund,596,404
Mayar Sherif,404,596
Xiyu Wang,518,482
Brenda Fruhvirtova,482,518
Nao Hibino,537,463
Danka Kovinic,463,537
