Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
P,Madison Keys (37277939),Madison Keys,37277939,P,9800,Samsonova@Keys 01/09/2025 10:30PM ET,Keys,57.52
P,Jessica Pegula (37277940),Jessica Pegula,37277940,P,9300,Putintseva@Pegula 01/10/2025 03:00AM ET,Pegula,58.22
P,Elise Mertens (37277941),Elise Mertens,37277941,P,8800,Mertens@Joint 01/10/2025 12:10AM ET,Mertens,45.39
P,Elina Avanesyan (37277942),Elina Avanesyan,37277942,P,8700,Avanesyan@Kessler 01/09/2025 11:00PM ET,Avanesyan,47.27
P,Tommy Paul (37277943),Tommy Paul,37277943,P,8600,Auger-Aliassime@Paul 01/10/2025 12:30AM ET,Paul,59.8
P,Gael Monfils (37277944),Gael Monfils,37277944,P,8500,Basavareddy@Monfils 01/09/2025 07:00PM ET,Monfils,48.79
P,Nuno Borges (37277945),Nuno Borges,37277945,P,8300,Bergs@Borges 01/09/2025 08:10PM ET,Borges,43.49
P,Sebastian Korda (37277946),Sebastian Korda,37277946,P,8000,Korda@Kecmanovic 01/10/2025 05:00AM ET,Korda,53.2
P,Miomir Kecmanovic (37277947),Miomir Kecmanovic,37277947,P,7800,Korda@Kecmanovic 01/10/2025 05:00AM ET,Kecmanovic,44.25
P,Zizou Bergs (37277948),Zizou Bergs,37277948,P,7500,Bergs@Borges 01/09/2025 08:10PM ET,Bergs,46.54
P,Nishesh Basavareddy (37277949),Nishesh Basavareddy,37277949,P,7400,Basavareddy@Monfils 01/09/2025 07:00PM ET,Basavareddy,62.37
P,Felix Auger-Aliassime (37277950),Felix Auger-Aliassime,37277950,P,7300,Auger-Aliassime@Paul 01/10/2025 12:30AM ET,Auger-Aliassime,50.2
P,McCartney Kessler (37277951),McCartney Kessler,37277951,P,7200,Avanesyan@Kessler 01/09/2025 11:00PM ET,Kessler,41.29
P,Maya Joint (37277952),Maya Joint,37277952,P,7100,Mertens@Joint 01/10/2025 12:10AM ET,Joint,50.2
P,Yulia Putintseva (37277953),Yulia Putintseva,37277953,P,6600,Putintseva@Pegula 01/10/2025 03:00AM ET,Putintseva,56.41
P,Liudmila Samsonova (37277954),Liudmila Samsonova,37277954,P,6100,Samsonova@Keys 01/09/2025 10:30PM ET,Samsonova,46.08
